cik,tag,year,unit,value
320193,StockholdersEquity,2009,usd,31640000000
320193,UnrecognizedTaxBenefits,2009,usd,971000000
320193,CashAndCashEquivalentsAtCarryingValue,2009,usd,5263000000
320193,StandardProductWarrantyAccrual,2009,usd,577000000
320193,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,2009,shares,12263000
320193,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,2009,shares,34375000
320193,StockholdersEquity,2010,usd,47791000000
320193,FairValueHedgesAtFairValueNet,2010,usd,0
320193,UnrecognizedTaxBenefits,2010,usd,943000000
320193,CashAndCashEquivalentsAtCarryingValue,2010,usd,11261000000
320193,StandardProductWarrantyAccrual,2010,usd,761000000
320193,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,2010,shares,13034000
320193,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,2010,shares,21725000
320193,Goodwill,2011,usd,896000000
320193,AvailableForSaleSecuritiesNoncurrent,2011,usd,55618000000
320193,PropertyPlantAndEquipmentGross,2011,usd,11768000000
320193,DeferredTaxAssetsNet,2011,usd,3150000000
320193,DeferredTaxAssetsNetCurrent,2011,usd,2014000000
320193,OtherAssetsCurrent,2011,usd,4529000000
320193,DeferredTaxAssetsValuationAllowance,2011,usd,0
320193,NontradeReceivablesCurrent,2011,usd,6348000000
320193,DeferredTaxAssetsLiabilitiesNet,2011,usd,-6018000000
320193,OtherAssetsNoncurrent,2011,usd,3556000000
320193,StockholdersEquity,2011,usd,76615000000
320193,AvailableForSaleSecuritiesAmortizedCost,2011,usd,81464000000
320193,OtherAccruedLiabilitiesCurrent,2011,usd,3641000000
320193,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,2011,usd,23000000
320193,CommonStockSharesAuthorized,2011,shares,1800000000
320193,EmployeeRelatedLiabilitiesCurrent,2011,usd,590000000
320193,DeferredTaxLiabilities,2011,usd,9168000000
320193,BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,2011,usd,167000000
320193,CommonStockSharesOutstanding,2011,shares,929277000
320193,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,2011,usd,563000000
320193,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,2011,usd,355000000
320193,FairValueHedgesAtFairValueNet,2011,usd,0
320193,Liabilities,2011,usd,39756000000
320193,AccountsPayableCurrent,2011,usd,14632000000
320193,UnrecognizedTaxBenefits,2011,usd,1375000000
320193,AvailableForSaleSecuritiesCurrent,2011,usd,16137000000
320193,DeferredRevenueCurrent,2011,usd,4091000000
320193,DeferredTaxAssetsOther,2011,usd,795000000
320193,NotionalAmountOfForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,2011,usd,9891000000
320193,OtherLiabilitiesNoncurrent,2011,usd,10100000000
320193,RetainedEarningsAccumulatedDeficit,2011,usd,62841000000
320193,Assets,2011,usd,116371000000
320193,DeferredTaxLiabilitiesNoncurrent,2011,usd,8159000000
320193,AccountsReceivableNetCurrent,2011,usd,5369000000
320193,InventoryNet,2011,usd,776000000
320193,AvailableforsaleSecuritiesGrossUnrealizedGain,2011,usd,264000000
